Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,89,18556,15403,6065,1255,1313,58,1840,6877,20,94
E:\GIT\CompilerDesign\,89,18556,15403,6065,1255,1313,58,1840,6877,20,94
E:\GIT\CompilerDesign\\Input,10,636,326,175,33,134,5,176,524,13,66
E:\GIT\CompilerDesign\\Input\LEXER_TestCases,5,206,76,7,1,50,1,80,220,8,38
E:\GIT\CompilerDesign\\bin,22,865,812,92,0,13,2,40,281,0,0
E:\GIT\CompilerDesign\\bin\compiler,22,865,812,92,0,13,2,40,281,0,0
E:\GIT\CompilerDesign\\bin\compiler\codeGeneration,2,12,12,0,0,0,0,0,0,0,0
E:\GIT\CompilerDesign\\bin\compiler\designer,4,85,85,11,0,0,0,0,0,0,0
E:\GIT\CompilerDesign\\bin\compiler\lexer,4,191,191,13,0,0,0,0,0,0,0
E:\GIT\CompilerDesign\\bin\compiler\semantics,5,267,237,28,0,12,1,18,47,0,0
E:\GIT\CompilerDesign\\bin\compiler\syntacticAnalysis,2,244,222,31,0,0,1,22,234,0,0
E:\GIT\CompilerDesign\\bin\compiler\utils,4,62,61,9,0,1,0,0,0,0,0
E:\GIT\CompilerDesign\\logs,28,11316,9543,3056,308,787,38,986,3614,7,28
E:\GIT\CompilerDesign\\logs\TEST,6,853,749,243,0,104,0,0,0,0,0
E:\GIT\CompilerDesign\\logs\moon,22,10463,8794,2813,308,683,38,986,3614,7,28
E:\GIT\CompilerDesign\\src,25,5696,4685,2738,914,373,13,638,2458,0,0
E:\GIT\CompilerDesign\\src\compiler,16,4843,3837,2674,911,369,12,637,2456,0,0
E:\GIT\CompilerDesign\\src\compiler\codeGeneration,2,18,14,12,0,4,0,0,0,0,0
E:\GIT\CompilerDesign\\src\compiler\designer,4,216,115,97,3,47,0,54,196,0,0
E:\GIT\CompilerDesign\\src\compiler\lexer,3,933,780,543,102,71,6,82,309,0,0
E:\GIT\CompilerDesign\\src\compiler\semantics,3,1498,1247,837,268,131,6,120,596,0,0
E:\GIT\CompilerDesign\\src\compiler\syntacticAnalysis,2,2019,1560,1092,525,92,0,367,1309,0,0
E:\GIT\CompilerDesign\\src\compiler\utils,1,153,118,91,13,21,0,14,46,0,0
